in s,C1 in V
-2.72981E+00,-4.34800E-03
-2.72976E+00,-4.24399E-03
-2.72971E+00,-4.18540E-03
-2.72966E+00,-4.13706E-03
-2.72961E+00,-4.01255E-03
-2.72956E+00,-3.90122E-03
-2.72951E+00,-3.82798E-03
-2.72946E+00,-3.70786E-03
-2.72941E+00,-3.62729E-03
-2.72936E+00,-3.49692E-03
-2.72931E+00,-3.46909E-03
-2.72926E+00,-3.38706E-03
-2.72921E+00,-3.34897E-03
-2.72916E+00,-3.30942E-03
-2.72911E+00,-3.23179E-03
-2.72906E+00,-3.20981E-03
-2.72901E+00,-3.23325E-03
-2.72896E+00,-3.20103E-03
-2.72891E+00,-3.24058E-03
-2.72886E+00,-3.25229E-03
-2.72881E+00,-3.26694E-03
-2.72876E+00,-3.34604E-03
-2.72871E+00,-3.39585E-03
-2.72866E+00,-3.49253E-03
-2.72861E+00,-3.58188E-03
-2.72855E+00,-3.69761E-03
-2.72850E+00,-3.76206E-03
-2.72845E+00,-3.86021E-03
-2.72840E+00,-4.02866E-03
-2.72835E+00,-4.16636E-03
-2.72830E+00,-4.29673E-03
-2.72825E+00,-4.42124E-03
-2.72820E+00,-4.61606E-03
-2.72815E+00,-4.77280E-03
-2.72810E+00,-4.86216E-03
-2.72805E+00,-5.08921E-03
-2.72800E+00,-5.30161E-03
-2.72795E+00,-5.58872E-03
-2.72790E+00,-5.81284E-03
-2.72785E+00,-6.05015E-03
-2.72780E+00,-6.29331E-03
-2.72775E+00,-6.58628E-03
-2.72770E+00,-6.80161E-03
-2.72765E+00,-7.03892E-03
-2.72760E+00,-7.31431E-03
-2.72755E+00,-7.57212E-03
-2.72750E+00,-7.78013E-03
-2.72745E+00,-7.99546E-03
-2.72740E+00,-8.21079E-03
-2.72735E+00,-8.36899E-03
-2.72729E+00,-8.53599E-03
-2.72724E+00,-8.69712E-03
-2.72719E+00,-8.86411E-03
-2.72714E+00,-9.07065E-03
-2.72709E+00,-9.17173E-03
-2.72704E+00,-9.32554E-03
-2.72699E+00,-9.47935E-03
-2.72694E+00,-9.62290E-03
-2.72689E+00,-9.69761E-03
-2.72684E+00,-9.84116E-03
-2.72679E+00,-9.97007E-03
-2.72674E+00,-1.01356E-02
-2.72669E+00,-1.02455E-02
-2.72664E+00,-1.02982E-02
-2.72659E+00,-1.04198E-02
-2.72654E+00,-1.04710E-02
-2.72649E+00,-1.05985E-02
-2.72644E+00,-1.06732E-02
-2.72639E+00,-1.07508E-02
-2.72634E+00,-1.08036E-02
-2.72629E+00,-1.09002E-02
-2.72624E+00,-1.09383E-02
-2.72619E+00,-1.10086E-02
-2.72614E+00,-1.10438E-02
-2.72609E+00,-1.10819E-02
-2.72603E+00,-1.10951E-02
-2.72598E+00,-1.11039E-02
-2.72593E+00,-1.11288E-02
-2.72588E+00,-1.11522E-02
-2.72583E+00,-1.11595E-02
-2.72578E+00,-1.12313E-02
-2.72573E+00,-1.12518E-02
-2.72568E+00,-1.12254E-02
-2.72563E+00,-1.12840E-02
-2.72558E+00,-1.12899E-02
-2.72553E+00,-1.12679E-02
-2.72548E+00,-1.13265E-02
-2.72543E+00,-1.13075E-02
-2.72538E+00,-1.12914E-02
-2.72533E+00,-1.13148E-02
-2.72528E+00,-1.13250E-02
-2.72523E+00,-1.13119E-02
-2.72518E+00,-1.13060E-02
-2.72513E+00,-1.12679E-02
-2.72508E+00,-1.12386E-02
-2.72503E+00,-1.12621E-02
-2.72498E+00,-1.11639E-02
-2.72493E+00,-1.11200E-02
-2.72488E+00,-1.10628E-02
-2.72483E+00,-1.10394E-02
-2.72477E+00,-1.10101E-02
-2.72472E+00,-1.09208E-02
-2.72467E+00,-1.08622E-02
-2.72462E+00,-1.07948E-02
-2.72457E+00,-1.06585E-02
-2.72452E+00,-1.05150E-02
-2.72447E+00,-1.04286E-02
-2.72442E+00,-1.03304E-02
-2.72437E+00,-1.02396E-02
-2.72432E+00,-1.00726E-02
-2.72427E+00,-9.97007E-03
-2.72422E+00,-9.81772E-03
-2.72417E+00,-9.66538E-03
-2.72412E+00,-9.50278E-03
-2.72407E+00,-9.34312E-03
-2.72402E+00,-9.16147E-03
-2.72397E+00,-8.97983E-03
-2.72392E+00,-8.74546E-03
-2.72387E+00,-8.52134E-03
-2.72382E+00,-8.27671E-03
-2.72377E+00,-8.01011E-03
-2.72372E+00,-7.74937E-03
-2.72367E+00,-7.48130E-03
-2.72362E+00,-7.20591E-03
-2.72357E+00,-6.98179E-03
-2.72351E+00,-6.63755E-03
-2.72346E+00,-6.37241E-03
-2.72341E+00,-6.14683E-03
-2.72336E+00,-5.86704E-03
-2.72331E+00,-5.61069E-03
-2.72326E+00,-5.40415E-03
-2.72321E+00,-5.21372E-03
-2.72316E+00,-4.95884E-03
-2.72311E+00,-4.73618E-03
-2.72306E+00,-4.56626E-03
-2.72301E+00,-4.38462E-03
-2.72296E+00,-4.26157E-03
-2.72291E+00,-4.11362E-03
-2.72286E+00,-3.96421E-03
-2.72281E+00,-3.92026E-03
-2.72276E+00,-3.84702E-03
-2.72271E+00,-3.75327E-03
-2.72266E+00,-3.66392E-03
-2.72261E+00,-3.66831E-03
-2.72256E+00,-3.61118E-03
-2.72251E+00,-3.68735E-03
-2.72246E+00,-3.67710E-03
-2.72241E+00,-3.69028E-03
-2.72236E+00,-3.74888E-03
-2.72231E+00,-3.86606E-03
-2.72225E+00,-4.01548E-03
-2.72220E+00,-4.12534E-03
-2.72215E+00,-4.22935E-03
-2.72210E+00,-4.42271E-03
-2.72205E+00,-4.61021E-03
-2.72200E+00,-4.85044E-03
-2.72195E+00,-5.07017E-03
-2.72190E+00,-5.27817E-03
-2.72185E+00,-5.53892E-03
-2.72180E+00,-5.75864E-03
-2.72175E+00,-5.97544E-03
-2.72170E+00,-6.20542E-03
-2.72165E+00,-6.38853E-03
-2.72160E+00,-6.63901E-03
-2.72155E+00,-6.81333E-03
-2.72150E+00,-6.98325E-03
-2.72145E+00,-7.19126E-03
-2.72140E+00,-7.40952E-03
-2.72135E+00,-7.61899E-03
-2.72130E+00,-7.76401E-03
-2.72125E+00,-7.92661E-03
-2.72120E+00,-8.09360E-03
-2.72115E+00,-8.26353E-03
-2.72110E+00,-8.39243E-03
-2.72105E+00,-8.56968E-03
-2.72099E+00,-8.73813E-03
-2.72094E+00,-8.88901E-03
-2.72089E+00,-9.01646E-03
-2.72084E+00,-9.08823E-03
-2.72079E+00,-9.14683E-03
-2.72074E+00,-9.28013E-03
-2.72069E+00,-9.38120E-03
-2.72064E+00,-9.48813E-03
-2.72059E+00,-9.55405E-03
-2.72054E+00,-9.63169E-03
-2.72049E+00,-9.62437E-03
-2.72044E+00,-9.74155E-03
-2.72039E+00,-9.75620E-03
-2.72034E+00,-9.82944E-03
-2.72029E+00,-9.87339E-03
-2.72024E+00,-9.91733E-03
-2.72019E+00,-9.87925E-03
-2.72014E+00,-9.91440E-03
-2.72009E+00,-9.99204E-03
-2.72004E+00,-9.98179E-03
-2.71999E+00,-1.00287E-02
-2.71994E+00,-9.96274E-03
-2.71989E+00,-1.00243E-02
-2.71984E+00,-1.00375E-02
-2.71979E+00,-1.00433E-02
-2.71973E+00,-1.00213E-02
-2.71968E+00,-1.00360E-02
-2.71963E+00,-1.00345E-02
-2.71958E+00,-1.00345E-02
-2.71953E+00,-1.00448E-02
-2.71948E+00,-1.00521E-02
-2.71943E+00,-1.00404E-02
-2.71938E+00,-1.01488E-02
-2.71933E+00,-1.01224E-02
-2.71928E+00,-1.01385E-02
-2.71923E+00,-1.01722E-02
-2.71918E+00,-1.01283E-02
-2.71913E+00,-1.01605E-02
-2.71908E+00,-1.02396E-02
-2.71903E+00,-1.02601E-02
-2.71898E+00,-1.03084E-02
-2.71893E+00,-1.02953E-02
-2.71888E+00,-1.03128E-02
-2.71883E+00,-1.03729E-02
-2.71878E+00,-1.03641E-02
-2.71873E+00,-1.03744E-02
-2.71868E+00,-1.04125E-02
-2.71863E+00,-1.03949E-02
-2.71858E+00,-1.04388E-02
-2.71853E+00,-1.04125E-02
-2.71847E+00,-1.04154E-02
-2.71842E+00,-1.04330E-02
-2.71837E+00,-1.04461E-02
-2.71832E+00,-1.04344E-02
-2.71827E+00,-1.04212E-02
-2.71822E+00,-1.04330E-02
-2.71817E+00,-1.04007E-02
-2.71812E+00,-1.03758E-02
-2.71807E+00,-1.03817E-02
-2.71802E+00,-1.03832E-02
-2.71797E+00,-1.03524E-02
-2.71792E+00,-1.03377E-02
-2.71787E+00,-1.03729E-02
-2.71782E+00,-1.03333E-02
-2.71777E+00,-1.03553E-02
-2.71772E+00,-1.03714E-02
-2.71767E+00,-1.04037E-02
-2.71762E+00,-1.04330E-02
-2.71757E+00,-1.03568E-02
-2.71752E+00,-1.03963E-02
-2.71747E+00,-1.04227E-02
-2.71742E+00,-1.04388E-02
-2.71737E+00,-1.04256E-02
-2.71732E+00,-1.04828E-02
-2.71727E+00,-1.05018E-02
-2.71721E+00,-1.04828E-02
-2.71716E+00,-1.04725E-02
-2.71711E+00,-1.04681E-02
-2.71706E+00,-1.04769E-02
-2.71701E+00,-1.05047E-02
-2.71696E+00,-1.04842E-02
-2.71691E+00,-1.04579E-02
-2.71686E+00,-1.03846E-02
-2.71681E+00,-1.02879E-02
-2.71676E+00,-1.02411E-02
-2.71671E+00,-1.01693E-02
-2.71666E+00,-1.00169E-02
-2.71661E+00,-9.88218E-03
-2.71656E+00,-9.74595E-03
-2.71651E+00,-9.52915E-03
-2.71646E+00,-9.35483E-03
-2.71641E+00,-9.16880E-03
-2.71636E+00,-8.95347E-03
-2.71631E+00,-8.76597E-03
-2.71626E+00,-8.54771E-03
-2.71621E+00,-8.33091E-03
-2.71616E+00,-8.16099E-03
-2.71611E+00,-7.98081E-03
-2.71606E+00,-7.79331E-03
-2.71601E+00,-7.60435E-03
-2.71595E+00,-7.40952E-03
-2.71590E+00,-7.23813E-03
-2.71585E+00,-6.99204E-03
-2.71580E+00,-6.76646E-03
-2.71575E+00,-6.54819E-03
-2.71570E+00,-6.34019E-03
-2.71565E+00,-6.16440E-03
-2.71560E+00,-5.98276E-03
-2.71555E+00,-5.79966E-03
-2.71550E+00,-5.60483E-03
-2.71545E+00,-5.42173E-03
-2.71540E+00,-5.25034E-03
-2.71535E+00,-5.06431E-03
-2.71530E+00,-4.95884E-03
-2.71525E+00,-4.82554E-03
-2.71520E+00,-4.69663E-03
-2.71515E+00,-4.61606E-03
-2.71510E+00,-4.49155E-03
-2.71505E+00,-4.40513E-03
-2.71500E+00,-4.38315E-03
-2.71495E+00,-4.29233E-03
-2.71490E+00,-4.23667E-03
-2.71485E+00,-4.24253E-03
-2.71480E+00,-4.28208E-03
-2.71475E+00,-4.34800E-03
-2.71469E+00,-4.38755E-03
-2.71464E+00,-4.54136E-03
-2.71459E+00,-4.65269E-03
-2.71454E+00,-4.82847E-03
-2.71449E+00,-4.97056E-03
-2.71444E+00,-5.11558E-03
-2.71439E+00,-5.34556E-03
-2.71434E+00,-5.60483E-03
-2.71429E+00,-5.82749E-03
-2.71424E+00,-6.05015E-03
-2.71419E+00,-6.23618E-03
-2.71414E+00,-6.49839E-03
-2.71409E+00,-6.70786E-03
-2.71404E+00,-6.92759E-03
-2.71399E+00,-7.13560E-03
-2.71394E+00,-7.33921E-03
-2.71389E+00,-7.61021E-03
-2.71384E+00,-7.76694E-03
-2.71379E+00,-7.97056E-03
-2.71374E+00,-8.14780E-03
-2.71369E+00,-8.28550E-03
-2.71364E+00,-8.44224E-03
-2.71359E+00,-8.60923E-03
-2.71354E+00,-8.66343E-03
-2.71349E+00,-8.78354E-03
-2.71343E+00,-8.85532E-03
-2.71338E+00,-8.97983E-03
-2.71333E+00,-9.03696E-03
-2.71328E+00,-9.08970E-03
-2.71323E+00,-9.15269E-03
-2.71318E+00,-9.19810E-03
-2.71313E+00,-9.26548E-03
-2.71308E+00,-9.36216E-03
-2.71303E+00,-9.39146E-03
-2.71298E+00,-9.39146E-03
-2.71293E+00,-9.43540E-03
-2.71288E+00,-9.49399E-03
-2.71283E+00,-9.55112E-03
-2.71278E+00,-9.56284E-03
-2.71273E+00,-9.58628E-03
-2.71268E+00,-9.61411E-03
-2.71263E+00,-9.66978E-03
-2.71258E+00,-9.59067E-03
-2.71253E+00,-9.59360E-03
-2.71248E+00,-9.58481E-03
-2.71243E+00,-9.59507E-03
-2.71238E+00,-9.57603E-03
-2.71233E+00,-9.54966E-03
-2.71228E+00,-9.53062E-03
-2.71223E+00,-9.48667E-03
-2.71217E+00,-9.39585E-03
-2.71212E+00,-9.44565E-03
-2.71207E+00,-9.39585E-03
-2.71202E+00,-9.35776E-03
-2.71197E+00,-9.30503E-03
-2.71192E+00,-9.26841E-03
-2.71187E+00,-9.23618E-03
-2.71182E+00,-9.25229E-03
-2.71177E+00,-9.16440E-03
-2.71172E+00,-9.16001E-03
-2.71167E+00,-9.09556E-03
-2.71162E+00,-9.10874E-03
-2.71157E+00,-9.09702E-03
-2.71152E+00,-9.09995E-03
-2.71147E+00,-9.12046E-03
-2.71142E+00,-9.11606E-03
-2.71137E+00,-9.09702E-03
-2.71132E+00,-9.17319E-03
-2.71127E+00,-9.19077E-03
-2.71122E+00,-9.16733E-03
-2.71117E+00,-9.17612E-03
-2.71112E+00,-9.20981E-03
-2.71107E+00,-9.17612E-03
-2.71102E+00,-9.21274E-03
-2.71097E+00,-9.24351E-03
-2.71091E+00,-9.25962E-03
-2.71086E+00,-9.25815E-03
-2.71081E+00,-9.26401E-03
-2.71076E+00,-9.30942E-03
-2.71071E+00,-9.27720E-03
-2.71066E+00,-9.31382E-03
-2.71061E+00,-9.32407E-03
-2.71056E+00,-9.32700E-03
-2.71051E+00,-9.29331E-03
-2.71046E+00,-9.25815E-03
-2.71041E+00,-9.20103E-03
-2.71036E+00,-9.17319E-03
-2.71031E+00,-9.09263E-03
-2.71026E+00,-8.98569E-03
-2.71021E+00,-8.89927E-03
-2.71016E+00,-8.82163E-03
-2.71011E+00,-8.63560E-03
-2.71006E+00,-8.45981E-03
-2.71001E+00,-8.21958E-03
-2.70996E+00,-7.97056E-03
-2.70991E+00,-7.69370E-03
-2.70986E+00,-7.44614E-03
-2.70981E+00,-7.16489E-03
-2.70976E+00,-6.87046E-03
-2.70971E+00,-6.59507E-03
-2.70965E+00,-6.32847E-03
-2.70960E+00,-5.96812E-03
-2.70955E+00,-5.73813E-03
-2.70950E+00,-5.47593E-03
-2.70945E+00,-5.22104E-03
-2.70940E+00,-4.99106E-03
-2.70935E+00,-4.75815E-03
-2.70930E+00,-4.52671E-03
-2.70925E+00,-4.43003E-03
-2.70920E+00,-4.26157E-03
-2.70915E+00,-4.10923E-03
-2.70910E+00,-3.98325E-03
-2.70905E+00,-3.87925E-03
-2.70900E+00,-3.80747E-03
-2.70895E+00,-3.78843E-03
-2.70890E+00,-3.76792E-03
-2.70885E+00,-3.74155E-03
-2.70880E+00,-3.76060E-03
-2.70875E+00,-3.83384E-03
-2.70870E+00,-3.87778E-03
-2.70865E+00,-3.94517E-03
-2.70860E+00,-4.05942E-03
-2.70855E+00,-4.13706E-03
-2.70850E+00,-4.23667E-03
-2.70845E+00,-4.29526E-03
-2.70839E+00,-4.38169E-03
-2.70834E+00,-4.52231E-03
-2.70829E+00,-4.61899E-03
-2.70824E+00,-4.72153E-03
-2.70819E+00,-4.83726E-03
-2.70814E+00,-4.94126E-03
-2.70809E+00,-5.05845E-03
-2.70804E+00,-5.18735E-03
-2.70799E+00,-5.36753E-03
-2.70794E+00,-5.49351E-03
-2.70789E+00,-5.57407E-03
-2.70784E+00,-5.68540E-03
-2.70779E+00,-5.84214E-03
-2.70774E+00,-5.93589E-03
-2.70769E+00,-6.09702E-03
-2.70764E+00,-6.17026E-03
-2.70759E+00,-6.37974E-03
-2.70754E+00,-6.52622E-03
-2.70749E+00,-6.63462E-03
-2.70744E+00,-6.75620E-03
-2.70739E+00,-6.91587E-03
-2.70734E+00,-7.04185E-03
-2.70729E+00,-7.25864E-03
-2.70724E+00,-7.41685E-03
-2.70719E+00,-7.57505E-03
-2.70713E+00,-7.75083E-03
-2.70708E+00,-7.95151E-03
-2.70703E+00,-8.04233E-03
-2.70698E+00,-8.25327E-03
-2.70693E+00,-8.32212E-03
-2.70688E+00,-8.52720E-03
-2.70683E+00,-8.67661E-03
-2.70678E+00,-8.79966E-03
-2.70673E+00,-8.87144E-03
-2.70668E+00,-8.92271E-03
-2.70663E+00,-8.98862E-03
-2.70658E+00,-9.07212E-03
-2.70653E+00,-9.09409E-03
-2.70648E+00,-9.09116E-03
-2.70643E+00,-9.01353E-03
-2.70638E+00,-8.99448E-03
-2.70633E+00,-9.00767E-03
-2.70628E+00,-8.96079E-03
-2.70623E+00,-8.88755E-03
-2.70618E+00,-8.84360E-03
-2.70613E+00,-8.83188E-03
-2.70608E+00,-8.76304E-03
-2.70603E+00,-8.75571E-03
-2.70598E+00,-8.67954E-03
-2.70593E+00,-8.67515E-03
-2.70587E+00,-8.71909E-03
-2.70582E+00,-8.70005E-03
-2.70577E+00,-8.68540E-03
-2.70572E+00,-8.69712E-03
-2.70567E+00,-8.73813E-03
-2.70562E+00,-8.73521E-03
-2.70557E+00,-8.81724E-03
-2.70552E+00,-8.86265E-03
-2.70547E+00,-8.90513E-03
-2.70542E+00,-8.97544E-03
-2.70537E+00,-9.00327E-03
-2.70532E+00,-9.06187E-03
-2.70527E+00,-9.11606E-03
-2.70522E+00,-9.15269E-03
-2.70517E+00,-9.16733E-03
-2.70512E+00,-9.17173E-03
-2.70507E+00,-9.20835E-03
-2.70502E+00,-9.26841E-03
-2.70497E+00,-9.26401E-03
-2.70492E+00,-9.29331E-03
-2.70487E+00,-9.30942E-03
-2.70482E+00,-9.34751E-03
-2.70477E+00,-9.36069E-03
-2.70472E+00,-9.38999E-03
-2.70467E+00,-9.37388E-03
-2.70461E+00,-9.42222E-03
-2.70456E+00,-9.42515E-03
-2.70451E+00,-9.48521E-03
-2.70446E+00,-9.52036E-03
-2.70441E+00,-9.53647E-03
-2.70436E+00,-9.54087E-03
-2.70431E+00,-9.56284E-03
-2.70426E+00,-9.56870E-03
-2.70421E+00,-9.60679E-03
-2.70416E+00,-9.59067E-03
-2.70411E+00,-9.58042E-03
-2.70406E+00,-9.51743E-03
-2.70401E+00,-9.51890E-03
-2.70396E+00,-9.42075E-03
-2.70391E+00,-9.34604E-03
-2.70386E+00,-9.24790E-03
-2.70381E+00,-9.17319E-03
-2.70376E+00,-9.00620E-03
-2.70371E+00,-8.85239E-03
-2.70366E+00,-8.62388E-03
-2.70361E+00,-8.48032E-03
-2.70356E+00,-8.23569E-03
-2.70351E+00,-8.04966E-03
-2.70346E+00,-7.81089E-03
-2.70341E+00,-7.59849E-03
-2.70335E+00,-7.38901E-03
-2.70330E+00,-7.12974E-03
-2.70325E+00,-6.89829E-03
-2.70320E+00,-6.73423E-03
-2.70315E+00,-6.52769E-03
-2.70310E+00,-6.34019E-03
-2.70305E+00,-6.23032E-03
-2.70300E+00,-6.06333E-03
-2.70295E+00,-6.01206E-03
-2.70290E+00,-5.91099E-03
-2.70285E+00,-5.81577E-03
-2.70280E+00,-5.74546E-03
-2.70275E+00,-5.69272E-03
-2.70270E+00,-5.65464E-03
-2.70265E+00,-5.68101E-03
-2.70260E+00,-5.64585E-03
-2.70255E+00,-5.62388E-03
-2.70250E+00,-5.63120E-03
-2.70245E+00,-5.64438E-03
-2.70240E+00,-5.63853E-03
-2.70235E+00,-5.63999E-03
-2.70230E+00,-5.58140E-03
-2.70225E+00,-5.57261E-03
-2.70220E+00,-5.51255E-03
-2.70215E+00,-5.47446E-03
-2.70209E+00,-5.45835E-03
-2.70204E+00,-5.41294E-03
-2.70199E+00,-5.34409E-03
-2.70194E+00,-5.29722E-03
-2.70189E+00,-5.20640E-03
-2.70184E+00,-5.12144E-03
-2.70179E+00,-5.06577E-03
-2.70174E+00,-4.98667E-03
-2.70169E+00,-4.95737E-03
-2.70164E+00,-4.84751E-03
-2.70159E+00,-4.83872E-03
-2.70154E+00,-4.78013E-03
-2.70149E+00,-4.79038E-03
-2.70144E+00,-4.81675E-03
-2.70139E+00,-4.85190E-03
-2.70134E+00,-4.88706E-03
-2.70129E+00,-5.01011E-03
-2.70124E+00,-5.13315E-03
-2.70119E+00,-5.20933E-03
-2.70114E+00,-5.40269E-03
-2.70109E+00,-5.54624E-03
-2.70104E+00,-5.73374E-03
-2.70099E+00,-5.91685E-03
-2.70094E+00,-6.14097E-03
-2.70089E+00,-6.33140E-03
-2.70083E+00,-6.53794E-03
-2.70078E+00,-6.70200E-03
-2.70073E+00,-6.92759E-03
-2.70068E+00,-7.07114E-03
-2.70063E+00,-7.19272E-03
-2.70058E+00,-7.32310E-03
-2.70053E+00,-7.48716E-03
-2.70048E+00,-7.55747E-03
-2.70043E+00,-7.62192E-03
-2.70038E+00,-7.73765E-03
-2.70033E+00,-7.82847E-03
-2.70028E+00,-7.83140E-03
-2.70023E+00,-7.85483E-03
-2.70018E+00,-7.88706E-03
-2.70013E+00,-7.90903E-03
-2.70008E+00,-7.95298E-03
-2.70003E+00,-7.98960E-03
-2.69998E+00,-8.09653E-03
-2.69993E+00,-8.05405E-03
-2.69988E+00,-8.14341E-03
-2.69983E+00,-8.21958E-03
-2.69978E+00,-8.25913E-03
-2.69973E+00,-8.29136E-03
-2.69968E+00,-8.33530E-03
-2.69963E+00,-8.35142E-03
-2.69957E+00,-8.42905E-03
-2.69952E+00,-8.48179E-03
-2.69947E+00,-8.45981E-03
-2.69942E+00,-8.57114E-03
-2.69937E+00,-8.57993E-03
-2.69932E+00,-8.62241E-03
-2.69927E+00,-8.62681E-03
-2.69922E+00,-8.61509E-03
-2.69917E+00,-8.71909E-03
-2.69912E+00,-8.70005E-03
-2.69907E+00,-8.70737E-03
-2.69902E+00,-8.70737E-03
-2.69897E+00,-8.71763E-03
-2.69892E+00,-8.70591E-03
-2.69887E+00,-8.72202E-03
-2.69882E+00,-8.65171E-03
-2.69877E+00,-8.66196E-03
-2.69872E+00,-8.63853E-03
-2.69867E+00,-8.56821E-03
-2.69862E+00,-8.49937E-03
-2.69857E+00,-8.49790E-03
-2.69852E+00,-8.42759E-03
-2.69847E+00,-8.37632E-03
-2.69842E+00,-8.35581E-03
-2.69837E+00,-8.35874E-03
-2.69831E+00,-8.31479E-03
-2.69826E+00,-8.30894E-03
-2.69821E+00,-8.40854E-03
-2.69816E+00,-8.42026E-03
-2.69811E+00,-8.45103E-03
-2.69806E+00,-8.52280E-03
-2.69801E+00,-8.61509E-03
-2.69796E+00,-8.62095E-03
-2.69791E+00,-8.70151E-03
-2.69786E+00,-8.69126E-03
-2.69781E+00,-8.70737E-03
-2.69776E+00,-8.65903E-03
-2.69771E+00,-8.68687E-03
-2.69766E+00,-8.55210E-03
-2.69761E+00,-8.41147E-03
-2.69756E+00,-8.32065E-03
-2.69751E+00,-8.25767E-03
-2.69746E+00,-8.07456E-03
-2.69741E+00,-7.86802E-03
-2.69736E+00,-7.73325E-03
-2.69731E+00,-7.57065E-03
-2.69726E+00,-7.40806E-03
-2.69721E+00,-7.28794E-03
-2.69716E+00,-7.17661E-03
-2.69711E+00,-7.07114E-03
-2.69705E+00,-6.99497E-03
-2.69700E+00,-6.91294E-03
-2.69695E+00,-6.86899E-03
-2.69690E+00,-6.87046E-03
-2.69685E+00,-6.82798E-03
-2.69680E+00,-6.77085E-03
-2.69675E+00,-6.83823E-03
-2.69670E+00,-6.83530E-03
-2.69665E+00,-6.88364E-03
-2.69660E+00,-6.91587E-03
-2.69655E+00,-6.93931E-03
-2.69650E+00,-6.99058E-03
-2.69645E+00,-7.06089E-03
-2.69640E+00,-7.14292E-03
-2.69635E+00,-7.19858E-03
-2.69630E+00,-7.31724E-03
-2.69625E+00,-7.40220E-03
-2.69620E+00,-7.43149E-03
-2.69615E+00,-7.53843E-03
-2.69610E+00,-7.63511E-03
-2.69605E+00,-7.74937E-03
-2.69600E+00,-7.78452E-03
-2.69595E+00,-7.84165E-03
-2.69590E+00,-7.93394E-03
-2.69585E+00,-7.98813E-03
-2.69579E+00,-8.06577E-03
-2.69574E+00,-8.06577E-03
-2.69569E+00,-8.08921E-03
-2.69564E+00,-8.15659E-03
-2.69559E+00,-8.10679E-03
-2.69554E+00,-8.15659E-03
-2.69549E+00,-8.20933E-03
-2.69544E+00,-8.22544E-03
-2.69539E+00,-8.23276E-03
-2.69534E+00,-8.21372E-03
-2.69529E+00,-8.19175E-03
-2.69524E+00,-8.20493E-03
-2.69519E+00,-8.23130E-03
-2.69514E+00,-8.25034E-03
-2.69509E+00,-8.29136E-03
-2.69504E+00,-8.35728E-03
-2.69499E+00,-8.36753E-03
-2.69494E+00,-8.42759E-03
-2.69489E+00,-8.46860E-03
-2.69484E+00,-8.52427E-03
-2.69479E+00,-8.54331E-03
-2.69474E+00,-8.61509E-03
-2.69469E+00,-8.67808E-03
-2.69464E+00,-8.68540E-03
-2.69459E+00,-8.71177E-03
-2.69453E+00,-8.70005E-03
-2.69448E+00,-8.76743E-03
-2.69443E+00,-8.80991E-03
-2.69438E+00,-8.82017E-03
-2.69433E+00,-8.87583E-03
-2.69428E+00,-8.77329E-03
-2.69423E+00,-8.81870E-03
-2.69418E+00,-8.86704E-03
-2.69413E+00,-8.86851E-03
-2.69408E+00,-8.94761E-03
-2.69403E+00,-8.94468E-03
-2.69398E+00,-8.94761E-03
-2.69393E+00,-8.94761E-03
-2.69388E+00,-8.93003E-03
-2.69383E+00,-8.92563E-03
-2.69378E+00,-8.90659E-03
-2.69373E+00,-8.88462E-03
-2.69368E+00,-8.89634E-03
-2.69363E+00,-8.84214E-03
-2.69358E+00,-8.80845E-03
-2.69353E+00,-8.78794E-03
-2.69348E+00,-8.75425E-03
-2.69343E+00,-8.65757E-03
-2.69338E+00,-8.60190E-03
-2.69333E+00,-8.48325E-03
-2.69327E+00,-8.46714E-03
-2.69322E+00,-8.37778E-03
-2.69317E+00,-8.31187E-03
-2.69312E+00,-8.26646E-03
-2.69307E+00,-8.18735E-03
-2.69302E+00,-8.17124E-03
-2.69297E+00,-8.14487E-03
-2.69292E+00,-8.13608E-03
-2.69287E+00,-8.10093E-03
-2.69282E+00,-8.12290E-03
-2.69277E+00,-8.09507E-03
-2.69272E+00,-8.11997E-03
-2.69267E+00,-8.12290E-03
-2.69262E+00,-8.14341E-03
-2.69257E+00,-8.16538E-03
-2.69252E+00,-8.10825E-03
-2.69247E+00,-8.19028E-03
-2.69242E+00,-8.15513E-03
-2.69237E+00,-8.11265E-03
-2.69232E+00,-8.11997E-03
-2.69227E+00,-8.13022E-03
-2.69222E+00,-8.10093E-03
-2.69217E+00,-8.10825E-03
-2.69212E+00,-8.00864E-03
-2.69207E+00,-7.99106E-03
-2.69201E+00,-7.88560E-03
-2.69196E+00,-7.82261E-03
-2.69191E+00,-7.74937E-03
-2.69186E+00,-7.68198E-03
-2.69181E+00,-7.55601E-03
-2.69176E+00,-7.37290E-03
-2.69171E+00,-7.17075E-03
-2.69166E+00,-7.04038E-03
-2.69161E+00,-6.79429E-03
-2.69156E+00,-6.65073E-03
-2.69151E+00,-6.39438E-03
-2.69146E+00,-6.25962E-03
-2.69141E+00,-6.07798E-03
-2.69136E+00,-5.91099E-03
-2.69131E+00,-5.74692E-03
-2.69126E+00,-5.60044E-03
-2.69121E+00,-5.45835E-03
-2.69116E+00,-5.33237E-03
-2.69111E+00,-5.21958E-03
-2.69106E+00,-5.15366E-03
-2.69101E+00,-5.06284E-03
-2.69096E+00,-5.07896E-03
-2.69091E+00,-5.05698E-03
-2.69086E+00,-5.06870E-03
-2.69081E+00,-5.10386E-03
-2.69075E+00,-5.14487E-03
-2.69070E+00,-5.18442E-03
