in s,C1 in V
-2.99079E+00,3.69253E-03
-2.99074E+00,4.16421E-03
-2.99069E+00,4.65640E-03
-2.99063E+00,5.08267E-03
-2.99058E+00,5.51919E-03
-2.99053E+00,5.92202E-03
-2.99048E+00,6.26919E-03
-2.99043E+00,6.59585E-03
-2.99038E+00,6.85659E-03
-2.99033E+00,7.08511E-03
-2.99028E+00,7.33706E-03
-2.99023E+00,7.52896E-03
-2.99018E+00,7.70474E-03
-2.99013E+00,7.88491E-03
-2.99008E+00,8.08999E-03
-2.99003E+00,8.17935E-03
-2.98998E+00,8.31997E-03
-2.98993E+00,8.44009E-03
-2.98988E+00,8.54702E-03
-2.98983E+00,8.67153E-03
-2.98978E+00,8.72573E-03
-2.98973E+00,8.82241E-03
-2.98968E+00,8.85024E-03
-2.98963E+00,8.90151E-03
-2.98958E+00,8.99819E-03
-2.98953E+00,9.02603E-03
-2.98948E+00,9.06851E-03
-2.98943E+00,9.08169E-03
-2.98937E+00,9.09341E-03
-2.98932E+00,9.14761E-03
-2.98927E+00,9.17983E-03
-2.98922E+00,9.18276E-03
-2.98917E+00,9.21206E-03
-2.98912E+00,9.22671E-03
-2.98907E+00,9.25601E-03
-2.98902E+00,9.24136E-03
-2.98897E+00,9.20767E-03
-2.98892E+00,9.22231E-03
-2.98887E+00,9.27651E-03
-2.98882E+00,9.22524E-03
-2.98877E+00,9.20913E-03
-2.98872E+00,9.13735E-03
-2.98867E+00,9.10952E-03
-2.98862E+00,9.04360E-03
-2.98857E+00,9.00698E-03
-2.98852E+00,8.88540E-03
-2.98847E+00,8.70815E-03
-2.98842E+00,8.56313E-03
-2.98837E+00,8.44595E-03
-2.98832E+00,8.19399E-03
-2.98827E+00,7.98013E-03
-2.98822E+00,7.71499E-03
-2.98817E+00,7.36929E-03
-2.98811E+00,7.06753E-03
-2.98806E+00,6.77310E-03
-2.98801E+00,6.43618E-03
-2.98796E+00,6.10073E-03
-2.98791E+00,5.78872E-03
-2.98786E+00,5.46499E-03
-2.98781E+00,5.17642E-03
-2.98776E+00,4.92007E-03
-2.98771E+00,4.62271E-03
-2.98766E+00,4.39712E-03
-2.98761E+00,4.12759E-03
-2.98756E+00,3.87417E-03
-2.98751E+00,3.63833E-03
-2.98746E+00,3.38638E-03
-2.98741E+00,3.17544E-03
-2.98736E+00,2.94839E-03
-2.98731E+00,2.73745E-03
-2.98726E+00,2.49429E-03
-2.98721E+00,2.24380E-03
-2.98716E+00,2.05190E-03
-2.98711E+00,1.87905E-03
-2.98706E+00,1.65933E-03
-2.98701E+00,1.49819E-03
-2.98696E+00,1.26382E-03
-2.98691E+00,1.07925E-03
-2.98685E+00,9.37158E-04
-2.98680E+00,7.29150E-04
-2.98675E+00,5.75342E-04
-2.98670E+00,3.38037E-04
-2.98665E+00,1.54932E-04
-2.98660E+00,3.18848E-05
-2.98655E+00,-7.35840E-05
-2.98650E+00,-1.87842E-04
-2.98645E+00,-2.71338E-04
-2.98640E+00,-3.50439E-04
-2.98635E+00,-4.00244E-04
-2.98630E+00,-3.81201E-04
-2.98625E+00,-3.73877E-04
-2.98620E+00,-3.66553E-04
-2.98615E+00,-3.18213E-04
-2.98610E+00,-2.30322E-04
-2.98605E+00,-1.52686E-04
-2.98600E+00,-1.21924E-04
-2.98595E+00,1.13770E-05
-2.98590E+00,1.46143E-04
-2.98585E+00,3.43896E-04
-2.98580E+00,4.91846E-04
-2.98575E+00,7.51123E-04
-2.98570E+00,9.86963E-04
-2.98565E+00,1.36489E-03
-2.98559E+00,1.68276E-03
-2.98554E+00,2.05776E-03
-2.98549E+00,2.42837E-03
-2.98544E+00,2.77114E-03
-2.98539E+00,3.15200E-03
-2.98534E+00,3.52261E-03
-2.98529E+00,3.85806E-03
-2.98524E+00,4.15981E-03
-2.98519E+00,4.43521E-03
-2.98514E+00,4.73403E-03
-2.98509E+00,5.01968E-03
-2.98504E+00,5.23940E-03
-2.98499E+00,5.49722E-03
-2.98494E+00,5.71108E-03
-2.98489E+00,5.95718E-03
-2.98484E+00,6.14175E-03
-2.98479E+00,6.32632E-03
-2.98474E+00,6.51089E-03
-2.98469E+00,6.63979E-03
-2.98464E+00,6.79800E-03
-2.98459E+00,6.92690E-03
-2.98454E+00,7.04556E-03
-2.98449E+00,7.14956E-03
-2.98444E+00,7.22573E-03
-2.98439E+00,7.28140E-03
-2.98433E+00,7.35171E-03
-2.98428E+00,7.45864E-03
-2.98423E+00,7.55093E-03
-2.98418E+00,7.59194E-03
-2.98413E+00,7.72378E-03
-2.98408E+00,7.77505E-03
-2.98403E+00,7.88784E-03
